round_id,click_number,player_address,timestamp,round_type,grid_size,steps,correct_steps,time_elapsed_ms,time_limit_ms,is_perfect,time_expired,mean_reaction_time,std_reaction_time,min_reaction_time,max_reaction_time,entropy_reaction_time,mean_inter_click_interval,std_inter_click_interval,entropy_inter_click,mean_click_x,std_click_x,mean_click_y,std_click_y,click_position_entropy,mouse_move_count,mouse_total_distance,mouse_avg_speed,mouse_max_speed,mouse_direction_changes,mouse_acceleration_changes,mouse_pause_count,device_info,device_info_hash,session_id,session_id_hash,round_in_session,cv_reaction_time_across_rounds,cv_inter_click_interval_across_rounds,cv_mouse_speed_across_rounds,pattern_repetition_score,time_of_day_variance,day_of_week_played,total_rounds_in_session,session_duration_total,session_success_rate,session_avg_time_per_round,rounds_per_hour,session_pause_duration_total,24h_rounds_played,7d_rounds_played,7d_avg_success_rate,7d_avg_steps,7d_perfect_round_ratio,time_since_last_round_seconds,time_since_first_round_hours,trend_success_rate,trend_reaction_time,device_type,screen_resolution,browser_type,os_type,is_mobile_device,device_changes_count,unique_devices_7d,mouse_straightness_index,mouse_curvature_avg,mouse_jitter_ratio,mouse_overshoot_count,mouse_ballistic_coefficient,mouse_idle_time_ratio,click_anticipation_score,click_accuracy_score,misclick_count,double_click_count,click_rhythm_variance,click_hesitation_count,first_click_reaction_time,optimal_path_deviation,backtrack_count,exploration_pattern_score,difficulty_adjustment_response,learning_curve_slope,z_score_reaction_time,z_score_success_rate,outlier_round_ratio,performance_volatility,consecutive_perfect_rounds,consecutive_failed_rounds,win_streak_max,round_completion_rhythm,batch_playing_indicator,perfect_to_total_ratio,speed_to_accuracy_ratio,mouse_efficiency,time_pressure_ratio,verification_passed,verification_reasons,label,shared_device_ratio,shared_ip_ratio,account_similarity_score,co_activity_score,funding_linked_accounts,transfer_graph_degree,simultaneous_login_count,inter_account_time_gap_mean,synchronized_action_rate,behavioral_hash_match_count,repetitive_pattern_similarity,device_reuse_score,reward_flow_entropy,same_reward_recipient_ratio,onchain_first_tx_time,onchain_last_tx_time,onchain_total_received,onchain_total_sent,onchain_balance,onchain_contract_interaction_count,onchain_function_sequence,onchain_neighbor_count,onchain_neighbor_stats,onchain_graph_distance_to_funder,tx_submission_timestamp,block_timestamp,block_number,submission_to_block_delay_ms,gas_price_used,tx_position_in_block,block_miner_address_hash,is_front_run_candidate,mempool_wait_time_ms,similar_tx_in_same_block,tx_nonce_gap,gas_price_vs_network_median,daily_challenge_completion_time_of_day,is_near_day_boundary,daily_challenge_completer_rank,time_since_last_daily_challenge,daily_challenge_submission_order,block_timestamp_vs_system_time_diff,time_since_last_leaderboard_update,is_near_leaderboard_update,rounds_submitted_before_leaderboard,leaderboard_position_change,time_between_round_submissions,submission_time_consistency_score,peak_hour_submission_ratio,weekend_vs_weekday_ratio,reward_withdrawal_timing_pattern
"1760473465288_5ufppmcke",1,"0x6E9d5ae84746D6ffc7f93B2Fb2cd552b40F30268","2025-10-14T20:24:31.528Z","DAILY",4,4,4,6975,25000,1,0,6237,2598.8705599740824,150,6237,2,239.33333333333334,111.81631763248551,1.584962500721156,83.625,115.875,534.625,84.18123584712926,2,25,424.93732252423024,0.3303876976217837,1.392838827718412,8,0,9,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""screen"":{""width"":1470,""height"":956,""availWidth"":1470,""availHeight"":840},""window"":{""innerWidth"":414,""innerHeight"":703}}","644b15f53146","sess_e2zr9q23h1s1760473472265","037a2276e582",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1470x956","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.36,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.2790,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473465288_5ufppmcke",2,"0x6E9d5ae84746D6ffc7f93B2Fb2cd552b40F30268","2025-10-14T20:24:31.699Z","DAILY",4,4,4,6975,25000,1,0,171,2598.8705599740824,150,6237,2,239.33333333333334,111.81631763248551,1.584962500721156,83.625,115.875,611.875,84.18123584712926,2,25,424.93732252423024,0.3303876976217837,1.392838827718412,8,0,9,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""screen"":{""width"":1470,""height"":956,""availWidth"":1470,""availHeight"":840},""window"":{""innerWidth"":414,""innerHeight"":703}}","644b15f53146","sess_e2zr9q23h1s1760473472265","037a2276e582",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1470x956","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.36,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.2790,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473465288_5ufppmcke",3,"0x6E9d5ae84746D6ffc7f93B2Fb2cd552b40F30268","2025-10-14T20:24:31.849Z","DAILY",4,4,4,6975,25000,1,0,150,2598.8705599740824,150,6237,2,239.33333333333334,111.81631763248551,1.584962500721156,315.375,115.875,534.625,84.18123584712926,2,25,424.93732252423024,0.3303876976217837,1.392838827718412,8,0,9,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""screen"":{""width"":1470,""height"":956,""availWidth"":1470,""availHeight"":840},""window"":{""innerWidth"":414,""innerHeight"":703}}","644b15f53146","sess_e2zr9q23h1s1760473472265","037a2276e582",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1470x956","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.36,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.2790,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473465288_5ufppmcke",4,"0x6E9d5ae84746D6ffc7f93B2Fb2cd552b40F30268","2025-10-14T20:24:32.246Z","DAILY",4,4,4,6975,25000,1,0,397,2598.8705599740824,150,6237,2,239.33333333333334,111.81631763248551,1.584962500721156,315.375,115.875,380.125,84.18123584712926,2,25,424.93732252423024,0.3303876976217837,1.392838827718412,8,0,9,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""screen"":{""width"":1470,""height"":956,""availWidth"":1470,""availHeight"":840},""window"":{""innerWidth"":414,""innerHeight"":703}}","644b15f53146","sess_e2zr9q23h1s1760473472265","037a2276e582",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1470x956","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.36,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.2790,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473487900_cdcuzyicg",1,"0x6E9d5ae84746D6ffc7f93B2Fb2cd552b40F30268","2025-10-14T20:24:51.447Z","INFINITE",3,3,3,3843,20000,1,0,3544,1601.6293786849274,134,3544,1.584962500721156,146.5,12.5,1,199.5,48.554663843210825,616.5,97.10933128295252,1.584962500721156,8,435.2543156346954,1.1635552607723245,3.7183078960015474,0,0,1,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""screen"":{""width"":1470,""height"":956,""availWidth"":1470,""availHeight"":840},""window"":{""innerWidth"":414,""innerHeight"":703}}","644b15f53146","sess_e2zr9q23h1s1760473472265","037a2276e582",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1470x956","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.125,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1921,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473487900_cdcuzyicg",2,"0x6E9d5ae84746D6ffc7f93B2Fb2cd552b40F30268","2025-10-14T20:24:51.581Z","INFINITE",3,3,3,3843,20000,1,0,134,1601.6293786849274,134,3544,1.584962500721156,146.5,12.5,1,302.5,48.554663843210825,410.5,97.10933128295252,1.584962500721156,8,435.2543156346954,1.1635552607723245,3.7183078960015474,0,0,1,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""screen"":{""width"":1470,""height"":956,""availWidth"":1470,""availHeight"":840},""window"":{""innerWidth"":414,""innerHeight"":703}}","644b15f53146","sess_e2zr9q23h1s1760473472265","037a2276e582",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1470x956","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.125,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1921,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473487900_cdcuzyicg",3,"0x6E9d5ae84746D6ffc7f93B2Fb2cd552b40F30268","2025-10-14T20:24:51.740Z","INFINITE",3,3,3,3843,20000,1,0,159,1601.6293786849274,134,3544,1.584962500721156,146.5,12.5,1,199.50000762939453,48.554663843210825,616.5,97.10933128295252,1.584962500721156,8,435.2543156346954,1.1635552607723245,3.7183078960015474,0,0,1,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""screen"":{""width"":1470,""height"":956,""availWidth"":1470,""availHeight"":840},""window"":{""innerWidth"":414,""innerHeight"":703}}","644b15f53146","sess_e2zr9q23h1s1760473472265","037a2276e582",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1470x956","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.125,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1921,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473492721_pt1h1d0n1",1,"0x496a1ad38C2A043354B37c91aA412d2088a8e25e","2025-10-14T20:24:56.839Z","DAILY",4,4,4,4971,25000,1,0,4117,1663.097261136582,158,4117,2,281,95.56498661469412,1.584962500721156,102.375,128.29440020905042,765.875,140.53947399218484,2,22,418.13817360242217,0.39138859860258407,3.783437590340298,5,0,12,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""screen"":{""width"":1920,""height"":1080,""availWidth"":1920,""availHeight"":1055},""window"":{""innerWidth"":564,""innerHeight"":952}}","493aa0721daf","sess_2pn7nxc9jxd1760473497692","74c04d35ab97",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1920x1080","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.5454545454545454,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1988,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473492721_pt1h1d0n1",2,"0x496a1ad38C2A043354B37c91aA412d2088a8e25e","2025-10-14T20:24:57.230Z","DAILY",4,4,4,4971,25000,1,0,391,1663.097261136582,158,4117,2,281,95.56498661469412,1.584962500721156,217.125,128.29440020905042,880.625,140.53947399218484,2,22,418.13817360242217,0.39138859860258407,3.783437590340298,5,0,12,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""screen"":{""width"":1920,""height"":1080,""availWidth"":1920,""availHeight"":1055},""window"":{""innerWidth"":564,""innerHeight"":952}}","493aa0721daf","sess_2pn7nxc9jxd1760473497692","74c04d35ab97",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1920x1080","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.5454545454545454,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1988,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1760473492721_pt1h1d0n1",3,"0x496a1ad38C2A043354B37c91aA412d2088a8e25e","2025-10-14T20:24:57.524Z","DAILY",4,4,4,4971,25000,1,0,294,1663.097261136582,158,4117,2,281,95.56498661469412,1.584962500721156,446.625,128.29440020905042,536.375,140.53947399218484,2,22,418.13817360242217,0.39138859860258407,3.783437590340298,5,0,12,"{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""screen"":{""width"":1920,""height"":1080,""availWidth"":1920,""availHeight"":1055},""window"":{""innerWidth"":564,""innerHeight"":952}}","493aa0721daf","sess_2pn7nxc9jxd1760473497692","74c04d35ab97",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","desktop","1920x1080","Chrome","macOS",0,"NA","NA","NA","NA","NA","NA","NA",0.5454545454545454,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1988,1,"[]","human","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
