roundId,playerAddressHash,timestamp,index,clientTs,clickType,xPx,yPx,expectedTileIndex,actualTileIndex,isCorrect,reactionTime,xNorm,yNorm,prePathLength,preAvgSpeed,prePeakSpeed,overshootCount,distanceToTargetPx
1761537293933_r5xdc3z70,f4f888e07d939001c24602f06ab83b7d,2025-10-27T03:54:59.229Z,7,1761537298080,mouse,432.625,944.125,7,7,True,0,0.22532552083333332,0.8741898148148148,0,0,0,0,0
1761537293933_r5xdc3z70,f4f888e07d939001c24602f06ab83b7d,2025-10-27T03:54:59.229Z,12,1761537298554,mouse,100.375,1165.625,12,12,True,474,0.05227864583333333,1.0792824074074074,0,0,0,0,0
1761537293933_r5xdc3z70,f4f888e07d939001c24602f06ab83b7d,2025-10-27T03:54:59.229Z,4,1761537298909,mouse,100.375,944.125,4,4,True,355,0.05227864583333333,0.8741898148148148,0,0,0,0,0
1761537293933_r5xdc3z70,f4f888e07d939001c24602f06ab83b7d,2025-10-27T03:54:59.229Z,2,1761537299220,mouse,321.875,833.375,2,2,True,311,0.16764322916666666,0.7716435185185185,0,0,0,0,0
1761537314596_41zgk6zkw,9988d569b2c36937a5c25b8ad2e311b2,2025-10-27T03:55:21.924Z,15,1761537318711,mouse,401.125,1217.125,15,15,True,0,0.20891927083333334,1.1269675925925926,0,0,0,0,0
1761537314596_41zgk6zkw,9988d569b2c36937a5c25b8ad2e311b2,2025-10-27T03:55:21.924Z,7,1761537321529,mouse,401.125,1013.625,7,7,True,2818,0.20891927083333334,0.9385416666666667,0,0,0,0,0
1761537314596_41zgk6zkw,9988d569b2c36937a5c25b8ad2e311b2,2025-10-27T03:55:21.924Z,13,1761537321907,mouse,197.625,1217.125,0,13,False,378,0.1029296875,1.1269675925925926,0,0,0,0,0
1761537322519_i137m2k7w,c98cace2fda2cd9efd142ea27f9fb5bc,2025-10-27T03:55:27.464Z,2,1761537326549,mouse,225.625,980.625,2,2,True,0,0.15348639455782312,1.0257583682008369,0,0,0,0,0
1761537322519_i137m2k7w,c98cace2fda2cd9efd142ea27f9fb5bc,2025-10-27T03:55:27.464Z,5,1761537326809,mouse,153.375,1052.875,5,5,True,260,0.10433673469387755,1.1013336820083681,0,0,0,0,0
1761537322519_i137m2k7w,c98cace2fda2cd9efd142ea27f9fb5bc,2025-10-27T03:55:27.464Z,14,1761537327126,mouse,225.625,1197.375,14,14,True,317,0.15348639455782312,1.252484309623431,0,0,0,0,0
1761537322519_i137m2k7w,c98cace2fda2cd9efd142ea27f9fb5bc,2025-10-27T03:55:27.464Z,0,1761537327457,mouse,81.125,980.625,0,0,True,331,0.05518707482993197,1.0257583682008369,0,0,0,0,0
1761537329831_qbn416ut2,76ef0ecebc0b613abaf86562b711a178,2025-10-27T03:55:34.877Z,1,1761537333847,mouse,141.1875,874.0625,1,1,True,0,0.09604591836734694,0.9142913179916318,0,0,0,0,0
1761537329831_qbn416ut2,76ef0ecebc0b613abaf86562b711a178,2025-10-27T03:55:34.877Z,14,1761537334206,mouse,205.3125,1066.4375,14,14,True,359,0.13966836734693877,1.1155203974895398,0,0,0,0,0
1761537329831_qbn416ut2,76ef0ecebc0b613abaf86562b711a178,2025-10-27T03:55:34.877Z,2,1761537334558,mouse,205.3125,874.0625,2,2,True,352,0.13966836734693877,0.9142913179916318,0,0,0,0,0
