roundId,playerAddressHash,timestamp,index,clientTs,clickType,xPx,yPx,expectedTileIndex,actualTileIndex,isCorrect,reactionTime,xNorm,yNorm,prePathLength,preAvgSpeed,prePeakSpeed,overshootCount,distanceToTargetPx
1761534525771_s54kga9ra,09620dd6f54a39010841b752cf9ea06d,2025-10-27T03:08:51.765Z,11,1761534530113,mouse,432.625,971.875,11,11,True,0,0.22532552083333332,0.8998842592592593,0,0,0,0,0
1761534525771_s54kga9ra,09620dd6f54a39010841b752cf9ea06d,2025-10-27T03:08:51.765Z,14,1761534530648,mouse,321.875,1082.625,14,14,True,535,0.16764322916666666,1.0024305555555555,0,0,0,0,0
1761534525771_s54kga9ra,09620dd6f54a39010841b752cf9ea06d,2025-10-27T03:08:51.765Z,4,1761534531197,mouse,100.375,861.125,4,4,True,549,0.05227864583333333,0.797337962962963,0,0,0,0,0
1761534525771_s54kga9ra,09620dd6f54a39010841b752cf9ea06d,2025-10-27T03:08:51.765Z,7,1761534531745,mouse,432.625,861.125,7,7,True,548,0.22532552083333332,0.797337962962963,0,0,0,0,0
1761534550644_5h8fu06x6,58f49bc46a00338796dfe8369425895f,2025-10-27T03:09:17.774Z,4,1761534554957,mouse,95.875,1013.625,4,4,True,0,0.04993489583333333,0.9385416666666667,0,0,0,0,0
1761534550644_5h8fu06x6,58f49bc46a00338796dfe8369425895f,2025-10-27T03:09:17.774Z,14,1761534555471,mouse,299.375,1217.125,14,14,True,514,0.15592447916666666,1.1269675925925926,0,0,0,0,0
1761534550644_5h8fu06x6,58f49bc46a00338796dfe8369425895f,2025-10-27T03:09:17.774Z,14,1761534557263,mouse,299.375,1217.125,14,14,True,1792,0.15592447916666666,1.1269675925925926,0,0,0,0,0
1761534550644_5h8fu06x6,58f49bc46a00338796dfe8369425895f,2025-10-27T03:09:17.774Z,5,1761534557756,mouse,197.625,1013.625,5,5,True,493,0.1029296875,0.9385416666666667,0,0,0,0,0
1761534563941_9j60ch2pn,be94f06ba2182f385604fd43b2f49751,2025-10-27T03:09:31.806Z,9,1761534568093,mouse,153.375,1125.125,9,9,True,0,0.10433673469387755,1.1769089958158996,0,0,0,0,0
1761534563941_9j60ch2pn,be94f06ba2182f385604fd43b2f49751,2025-10-27T03:09:31.806Z,8,1761534568626,mouse,81.125,1125.125,8,8,True,533,0.05518707482993197,1.1769089958158996,0,0,0,0,0
1761534563941_9j60ch2pn,be94f06ba2182f385604fd43b2f49751,2025-10-27T03:09:31.806Z,8,1761534569143,mouse,81.125,1125.125,8,8,True,517,0.05518707482993197,1.1769089958158996,0,0,0,0,0
1761534563941_9j60ch2pn,be94f06ba2182f385604fd43b2f49751,2025-10-27T03:09:31.806Z,1,1761534571803,mouse,153.375,980.625,1,1,True,2660,0.10433673469387755,1.0257583682008369,0,0,0,0,0
1761534572632_p9p0abzxp,f06c0d3e479fac14b5a424750219dac8,2025-10-27T03:09:39.693Z,0,1761534576881,mouse,77.125,1056.125,0,0,True,0,0.05246598639455782,1.1047332635983265,0,0,0,0,0
