roundId,playerAddressHash,timestamp,index,clientTs,clickType,xPx,yPx,expectedTileIndex,actualTileIndex,isCorrect,reactionTime,xNorm,yNorm,prePathLength,preAvgSpeed,prePeakSpeed,overshootCount,distanceToTargetPx
1761526614477_i033vubtu,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:56:58.576Z,5,1761526618349,mouse,232.125,420.125,5,5,True,0,0.1208984375,0.3890046296296296,10.303087849844879,,,0,0
1761526614477_i033vubtu,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:56:58.576Z,2,1761526618430,mouse,356.875,295.375,2,2,True,81,0.18587239583333334,0.27349537037037036,57.43057452163759,,,0,0
1761526614477_i033vubtu,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:56:58.576Z,3,1761526618501,mouse,481.625,295.375,3,3,True,71,0.2508463541666667,0.27349537037037036,115.4391945707303,,,0,0
1761526614477_i033vubtu,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:56:58.576Z,1,1761526618571,mouse,232.125,295.375,1,1,True,70,0.1208984375,0.27349537037037036,115.4391945707303,,,0,0
1761526651956_d6grp441o,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:35.610Z,4,1761526655441,mouse,294.4921875,560.4921875,4,4,True,0,0.15338134765625,0.5189742476851852,187.11013129787816,,,0,0
1761526651956_d6grp441o,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:35.610Z,5,1761526655520,mouse,460.8203125,560.4921875,5,5,True,79,0.24001057942708334,0.5189742476851852,187.11013129787816,,,0,0
1761526651956_d6grp441o,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:35.610Z,8,1761526655601,mouse,460.82032775878906,726.8203125,8,8,True,81,0.2400105873743693,0.6729817708333333,176.1376039618031,,,0,0
1761526656675_lgpi2kyv6,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:40.319Z,8,1761526660160,mouse,460.8203125,726.8203125,8,8,True,0,0.24001057942708334,0.6729817708333333,0,0,0,0,0
1761526656675_lgpi2kyv6,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:40.319Z,5,1761526660238,mouse,460.8203125,560.4921875,5,5,True,78,0.24001057942708334,0.5189742476851852,0,0,0,0,0
1761526656675_lgpi2kyv6,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:40.319Z,4,1761526660316,mouse,294.4921875,560.4921875,4,4,True,78,0.15338134765625,0.5189742476851852,0,0,0,0,0
1761526662029_dswm3269q,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:46.669Z,4,1761526666434,mouse,294.4921875,560.4921875,4,4,True,0,0.15338134765625,0.5189742476851852,0,0,0,0,0
1761526662029_dswm3269q,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:46.669Z,2,1761526666510,mouse,460.8203125,394.1640625,2,2,True,76,0.24001057942708334,0.36496672453703705,0,0,0,0,0
1761526662029_dswm3269q,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T00:57:46.669Z,5,1761526666587,mouse,460.8203125,560.4921875,5,5,True,77,0.24001057942708334,0.5189742476851852,0,0,0,0,0
