schema_version, round_id                 , player_address_hash               , timestamp                 , round_type, grid_size, steps, correct_steps, time_elapsed_ms, time_limit_ms, is_perfect, time_expired, session_id                   , mean_reaction_time, std_reaction_time, min_reaction_time, max_reaction_time, entropy_reaction_time, mean_inter_click_interval, std_inter_click_interval, entropy_inter_click, mean_click_x_norm, std_click_x_norm, mean_click_y_norm, std_click_y_norm, click_position_entropy, misclick_count, double_click_count, first_click_reaction_time, click_hesitation_count, mouse_move_count, mouse_total_distance, mouse_avg_speed, mouse_max_speed, mouse_direction_changes, mouse_acceleration_changes, mouse_pause_count, mouse_idle_time_ratio, round_in_session, session_avg_time_per_round, consecutive_perfect_rounds, time_pressure_ratio, speed_to_accuracy_ratio, dominant_click_type, device_info_hash  , label
             1, "1761250317455_bbxg7b9cf", "1d3cd11285a4ae5a1751cdfcc1daff24", "2025-10-23T20:12:04.001Z", "INFINITE",         3,     3,             3,            6545,         20000,          1,            0, "sess_1dsj2vlc_1761250324007",            832.000,            17.000,           815.000,           849.000,                1.0000,                   849.000,                    0.000,              0.0000,            0.2851,           0.0626,            0.3144,           0.1113,                 0.9183,              0,                  0,                   815.000,                      2,               14,              1057.36,          1.4618,          3.4060,                       5,                          8,                 2,                0.1429,                1,                   6545.000,                          1,              0.3272,                832.0000, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250327016_2qtya6qfb", "1d3cd11285a4ae5a1751cdfcc1daff24", "2025-10-23T20:12:12.911Z", "INFINITE",         3,     3,             3,            5895,         19800,          1,            0, "sess_1dsj2vlc_1761250324007",            818.000,           198.000,           620.000,          1016.000,                1.0000,                   620.000,                    0.000,              0.0000,            0.2408,           0.0626,            0.4921,           0.1928,                 1.5850,              0,                  0,                  1016.000,                      2,               17,               903.58,          0.9703,          3.0143,                       3,                          7,                 2,                0.1176,                2,                   6220.000,                          2,              0.2977,                818.0000, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250334273_2zfya6uyo", "1d3cd11285a4ae5a1751cdfcc1daff24", "2025-10-23T20:12:21.832Z", "INFINITE",         3,     4,             4,            7557,         19600,          1,            0, "sess_1dsj2vlc_1761250324007",            881.667,            89.775,           781.000,           999.000,                1.5850,                   932.000,                   67.000,              1.0000,            0.2961,           0.1101,            0.3882,           0.1022,                 1.5000,              0,                  0,                   781.000,                      3,               25,              1099.70,          0.7910,          3.9623,                       5,                         14,                 4,                0.1600,                3,                   6665.667,                          3,              0.3856,                881.6667, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250343065_ph4v1au87", "1d3cd11285a4ae5a1751cdfcc1daff24", "2025-10-23T20:12:30.244Z", "INFINITE",         3,     4,             4,            7179,         19400,          1,            0, "sess_1dsj2vlc_1761250324007",            806.333,           109.770,           652.000,           898.000,                0.9183,                   775.000,                  123.000,              1.0000,            0.2297,           0.0575,            0.3229,           0.1958,                 1.5000,              0,                  0,                   869.000,                      3,               17,               993.76,          1.0754,          2.8411,                       2,                          8,                 2,                0.1176,                4,                   6794.000,                          4,              0.3701,                806.3333, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250351594_o6tct98yr", "1d3cd11285a4ae5a1751cdfcc1daff24", "2025-10-23T20:12:40.467Z", "INFINITE",         3,     5,             5,            8873,         19200,          1,            0, "sess_1dsj2vlc_1761250324007",            803.750,           157.017,           670.000,          1067.000,                1.5000,                   716.000,                   45.519,              1.5850,            0.3028,           0.0994,            0.4199,           0.1767,                 1.9219,              0,                  0,                  1067.000,                      4,               23,              1287.66,          1.0864,          3.4205,                       5,                         10,                 3,                0.1304,                5,                   7209.800,                          5,              0.4621,                803.7500, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250386572_ii9z7xabr", "760e4c25b2e4c75b83ec86e127f466ea", "2025-10-23T20:13:12.470Z", "INFINITE",         3,     3,             3,            5897,         20000,          1,            0, "sess_5gex9a1t_1761250392470",            757.000,            89.000,           668.000,           846.000,                1.0000,                   668.000,                    0.000,              0.0000,            0.2408,           0.0626,            0.3736,           0.1928,                 1.5850,              0,                  0,                   846.000,                      2,               24,              1196.29,          0.9465,          4.6407,                       4,                         11,                 3,                0.1250,                1,                   5897.000,                          1,              0.2949,                757.0000, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250393738_vh86eetnt", "760e4c25b2e4c75b83ec86e127f466ea", "2025-10-23T20:13:19.812Z", "INFINITE",         3,     3,             2,            6074,         19800,          0,            0, "sess_5gex9a1t_1761250392470",            857.000,            92.000,           765.000,           949.000,                1.0000,                   765.000,                    0.000,              0.0000,            0.2408,           0.0626,            0.3736,           0.1928,                 1.5850,              1,                  0,                   949.000,                      2,               19,              1123.38,          1.0961,          4.4675,                       4,                         10,                 4,                0.2105,                2,                   5985.500,                          0,              0.3068,                428.5000, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250417379_k1xtv4pup", "760e4c25b2e4c75b83ec86e127f466ea", "2025-10-23T20:13:42.794Z", "INFINITE",         3,     3,             3,            5415,         19800,          1,            0, "sess_5gex9a1t_1761250392470",            651.000,            50.000,           601.000,           701.000,                1.0000,                   601.000,                    0.000,              0.0000,            0.2408,           0.0626,            0.2236,           0.1113,                 1.5850,              0,                  0,                   701.000,                      2,               16,              1321.88,          1.5090,          5.2773,                       4,                         10,                 1,                0.0625,                3,                   5795.333,                          1,              0.2735,                651.0000, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250426006_2nzrcwbub", "760e4c25b2e4c75b83ec86e127f466ea", "2025-10-23T20:14:08.714Z", "INFINITE",         3,     4,             1,           22708,         19600,          0,            1, "sess_5gex9a1t_1761250392470",           1246.000,             0.000,          1246.000,          1246.000,                0.0000,                     0.000,                    0.000,              0.0000,            0.3957,           0.0664,            0.3574,           0.1181,                 1.0000,              1,                  0,                  1246.000,                      1,                9,               524.86,          1.0514,          2.1429,                       1,                          4,                 2,                0.2222,                4,                  10023.500,                          0,              1.1586,                623.0000, "mouse"            , "b720292f2bce53d5", "human"
             1, "1761250457435_uxa041qlm", "760e4c25b2e4c75b83ec86e127f466ea", "2025-10-23T20:14:27.133Z", "INFINITE",         3,     4,             4,            9697,         19600,          1,            0, "sess_5gex9a1t_1761250392470",           1508.667,          1077.135,           681.000,          3030.000,                0.9183,                  1922.500,                 1107.500,              1.0000,            0.2297,           0.0575,            0.3755,           0.2361,                 1.5000,              0,                  0,                   681.000,                      3,               15,              1198.05,          1.5297,          5.1798,                       4,                          6,                 2,                0.1333,                5,                   9958.200,                          1,              0.4947,               1508.6667, "mouse"            , "b720292f2bce53d5", "human"
