schema_version,round_id,player_address_hash,timestamp,round_type,grid_size,steps,correct_steps,time_elapsed_ms,time_limit_ms,is_perfect,time_expired,session_id,mean_reaction_time,std_reaction_time,min_reaction_time,max_reaction_time,entropy_reaction_time,mean_inter_click_interval,std_inter_click_interval,entropy_inter_click,mean_click_x_norm,std_click_x_norm,mean_click_y_norm,std_click_y_norm,click_position_entropy,misclick_count,double_click_count,first_click_reaction_time,click_hesitation_count,mouse_move_count,mouse_total_distance,mouse_avg_speed,mouse_max_speed,mouse_direction_changes,mouse_acceleration_changes,mouse_pause_count,mouse_idle_time_ratio,round_in_session,session_avg_time_per_round,consecutive_perfect_rounds,time_pressure_ratio,speed_to_accuracy_ratio,dominant_click_type,device_info_hash,label
1,"1761537293933_r5xdc3z70","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:54:59.229Z","DAILY",4,4,4,5295,25000,1,0,"sess_xcb415rr_1761537299232",380.000,68.852,311.000,474.000,1.5850,333.000,22.000,1.0000,0.1244,0.0749,0.8998,0.1117,2.0000,0,0,474.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,5295.000,1,0.2118,380.0000,"mouse","4b3a3162c9abb194","human"
1,"1761537314596_41zgk6zkw","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:55:21.924Z","DAILY",4,4,2,7328,25000,0,0,"sess_yheuq9yo_1761537321926",1598.000,1220.000,378.000,2818.000,1.0000,378.000,0.000,0.0000,0.1736,0.0500,1.0642,0.0888,1.5850,1,0,2818.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,7328.000,0,0.2931,799.0000,"mouse","8313f4547f73e3c2","human"
1,"1761537322519_i137m2k7w","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:55:27.464Z","DAILY",4,4,4,4945,25000,1,0,"sess_i3kh3e3p_1761537327465",302.667,30.706,260.000,331.000,1.5850,324.000,7.000,1.0000,0.1166,0.0408,1.1013,0.0926,2.0000,0,0,260.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,4945.000,1,0.1978,302.6667,"mouse","e6b71e3412bfade7","human"
1,"1761537329831_qbn416ut2","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:55:34.877Z","DAILY",4,4,4,5046,25000,1,0,"sess_5wydnjfo_1761537334877",337.667,25.382,302.000,359.000,0.9183,327.000,25.000,1.0000,0.1397,0.0308,0.9646,0.0871,2.0000,0,0,359.000,0,6,352.63,1.3474,3.5248,0,1,1,0.1667,1,5046.000,1,0.2018,337.6667,"mouse","c66ce809a25f3649","human"
1,"1761537334165_hu12ctvra","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:55:39.147Z","DAILY",4,4,4,4982,25000,1,0,"sess_yheuq9yo_1761537321926",308.333,23.343,277.000,333.000,1.5850,296.000,19.000,1.0000,0.1427,0.0688,1.0563,0.0781,2.0000,0,0,333.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,6155.000,1,0.1993,308.3333,"mouse","8313f4547f73e3c2","human"
1,"1761537343882_jgrj41z4k","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:55:48.520Z","INFINITE",3,3,3,4637,20000,1,0,"sess_xcb415rr_1761537299232",398.500,18.500,380.000,417.000,1.0000,417.000,0.000,0.0000,0.1132,0.0725,0.6753,0.0645,0.9183,0,0,380.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,4966.000,2,0.2319,398.5000,"mouse","4b3a3162c9abb194","human"
1,"1761537349846_lthvouzt5","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:55:54.148Z","INFINITE",3,3,3,4301,20000,1,0,"sess_yheuq9yo_1761537321926",328.000,18.000,310.000,346.000,1.0000,310.000,0.000,0.0000,0.1530,0.0666,0.7810,0.1026,1.5850,0,0,346.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,5537.000,2,0.2150,328.0000,"mouse","8313f4547f73e3c2","human"
1,"1761537351240_kgumfr2mr","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:55:54.849Z","INFINITE",3,3,3,3609,19800,1,0,"sess_xcb415rr_1761537299232",31.000,0.000,31.000,31.000,0.0000,31.000,0.000,0.0000,0.1388,0.0628,0.6753,0.0645,1.5850,0,2,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,4513.667,3,0.1823,31.0000,"mouse","4b3a3162c9abb194","human"
1,"1761537357084_3l89s611j","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:56:00.570Z","INFINITE",3,3,2,3486,19800,0,0,"sess_yheuq9yo_1761537321926",31.000,0.000,31.000,31.000,0.0000,31.000,0.000,0.0000,0.1059,0.0333,0.9066,0.0000,1.5850,1,2,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,5024.250,0,0.1761,15.5000,"mouse","8313f4547f73e3c2","human"
1,"1761537357587_3zygkj4rm","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:56:03.131Z","INFINITE",3,4,4,5544,19600,1,0,"sess_xcb415rr_1761537299232",314.000,59.436,257.000,396.000,1.5850,273.000,16.000,1.0000,0.1003,0.0385,0.7208,0.1367,2.0000,0,0,396.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,4771.250,4,0.2829,314.0000,"mouse","4b3a3162c9abb194","human"
