schema_version,round_id,player_address_hash,timestamp,round_type,grid_size,steps,correct_steps,time_elapsed_ms,time_limit_ms,is_perfect,time_expired,session_id,mean_reaction_time,std_reaction_time,min_reaction_time,max_reaction_time,entropy_reaction_time,mean_inter_click_interval,std_inter_click_interval,entropy_inter_click,mean_click_x_norm,std_click_x_norm,mean_click_y_norm,std_click_y_norm,click_position_entropy,misclick_count,double_click_count,first_click_reaction_time,click_hesitation_count,mouse_move_count,mouse_total_distance,mouse_avg_speed,mouse_max_speed,mouse_direction_changes,mouse_acceleration_changes,mouse_pause_count,mouse_idle_time_ratio,round_in_session,session_avg_time_per_round,consecutive_perfect_rounds,time_pressure_ratio,speed_to_accuracy_ratio,dominant_click_type,device_info_hash,label
1,"1761534525771_s54kga9ra","09620dd6f54a39010841b752cf9ea06d","2025-10-27T03:08:51.765Z","DAILY",4,4,4,5994,25000,1,0,"sess_xt27dgwq_1761534531766",544.000,6.377,535.000,549.000,0.9183,548.500,0.500,1.0000,0.1676,0.0706,0.8742,0.0850,2.0000,0,0,535.000,3,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,5994.000,1,0.2398,544.0000,"mouse","4b3a3162c9abb194","human"
1,"1761534550644_5h8fu06x6","58f49bc46a00338796dfe8369425895f","2025-10-27T03:09:17.774Z","DAILY",4,4,4,7130,25000,1,0,"sess_pyzeatbb_1761534557775",933.000,607.465,493.000,1792.000,0.9183,1142.500,649.500,1.0000,0.1162,0.0439,1.0328,0.0942,1.5000,0,0,514.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,7130.000,1,0.2852,933.0000,"mouse","8313f4547f73e3c2","human"
1,"1761534563941_9j60ch2pn","be94f06ba2182f385604fd43b2f49751","2025-10-27T03:09:31.806Z","DAILY",4,4,4,7865,25000,1,0,"sess_f60tiy7h_1761534571806",1236.667,1006.470,517.000,2660.000,0.9183,1588.500,1071.500,1.0000,0.0798,0.0246,1.1391,0.0655,1.5000,0,0,533.000,3,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,7865.000,1,0.3146,1236.6667,"mouse","e6b71e3412bfade7","human"
1,"1761534572632_p9p0abzxp","f06c0d3e479fac14b5a424750219dac8","2025-10-27T03:09:39.693Z","DAILY",4,4,4,7061,25000,1,0,"sess_6yt2l7a7_1761534579693",936.667,602.752,500.000,1789.000,0.9183,510.500,10.500,1.0000,0.1290,0.0476,1.1887,0.0873,2.0000,0,0,1789.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,7061.000,1,0.2824,936.6667,"mouse","be886ed6cb827169","human"
1,"1761534589317_2xflbomk4","09620dd6f54a39010841b752cf9ea06d","2025-10-27T03:09:55.519Z","INFINITE",3,3,3,6201,20000,1,0,"sess_xt27dgwq_1761534531766",1199.000,640.000,559.000,1839.000,1.0000,559.000,0.000,0.0000,0.1132,0.0363,0.6896,0.1289,1.5850,0,0,1839.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,6097.500,2,0.3100,1199.0000,"mouse","4b3a3162c9abb194","human"
1,"1761534598416_kw5skud0v","09620dd6f54a39010841b752cf9ea06d","2025-10-27T03:10:02.007Z","INFINITE",3,3,2,3591,19800,0,0,"sess_xt27dgwq_1761534531766",85.500,0.500,85.000,86.000,1.0000,85.000,0.000,0.0000,0.1132,0.0363,0.6896,0.1289,1.5850,1,2,86.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,5262.000,0,0.1814,42.7500,"mouse","4b3a3162c9abb194","human"
1,"1761534597530_cxcjgjd9n","58f49bc46a00338796dfe8369425895f","2025-10-27T03:10:03.779Z","INFINITE",3,3,3,6249,20000,1,0,"sess_pyzeatbb_1761534557775",1181.500,586.500,595.000,1768.000,1.0000,595.000,0.000,0.0000,0.0823,0.0333,0.7392,0.1184,0.9183,0,0,1768.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,6689.500,2,0.3125,1181.5000,"mouse","8313f4547f73e3c2","human"
1,"1761534604132_jucy5tj7q","09620dd6f54a39010841b752cf9ea06d","2025-10-27T03:10:09.976Z","INFINITE",3,3,3,5844,19800,1,0,"sess_xt27dgwq_1761534531766",1014.000,561.000,453.000,1575.000,1.0000,453.000,0.000,0.0000,0.0875,0.0363,0.7807,0.0000,0.0000,0,0,1575.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,5407.500,1,0.2952,1014.0000,"mouse","4b3a3162c9abb194","human"
1,"1761534606211_34kzds7kn","58f49bc46a00338796dfe8369425895f","2025-10-27T03:10:11.353Z","INFINITE",3,3,3,5141,19800,1,0,"sess_pyzeatbb_1761534557775",625.000,18.000,607.000,643.000,1.0000,607.000,0.000,0.0000,0.1059,0.0333,0.6554,0.0000,0.0000,0,0,643.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,6173.333,3,0.2596,625.0000,"mouse","8313f4547f73e3c2","human"
1,"1761534612018_3xgt8b9fx","09620dd6f54a39010841b752cf9ea06d","2025-10-27T03:10:18.078Z","INFINITE",3,4,4,6060,19600,1,0,"sess_xt27dgwq_1761534531766",455.333,39.041,401.000,491.000,1.5850,437.500,36.500,1.0000,0.1773,0.0666,0.6440,0.0967,1.5000,0,0,491.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,5,5538.000,2,0.3092,455.3333,"mouse","4b3a3162c9abb194","human"
1,"1761534614133_5ko89z1la","58f49bc46a00338796dfe8369425895f","2025-10-27T03:10:20.518Z","INFINITE",3,4,4,6385,19600,1,0,"sess_pyzeatbb_1761534557775",524.000,14.855,513.000,545.000,0.9183,513.500,0.500,1.0000,0.0588,0.0000,0.6868,0.0544,0.0000,0,0,545.000,3,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,6226.250,4,0.3258,524.0000,"mouse","8313f4547f73e3c2","human"
1,"1761534613579_5zh1iony9","f06c0d3e479fac14b5a424750219dac8","2025-10-27T03:10:20.989Z","INFINITE",3,3,3,7410,20000,1,0,"sess_6yt2l7a7_1761534579693",540.500,13.500,527.000,554.000,1.0000,554.000,0.000,0.0000,0.1107,0.0324,0.7195,0.0862,1.5850,0,0,527.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,7235.500,2,0.3705,540.5000,"mouse","be886ed6cb827169","human"
