schema_version,round_id,player_address_hash,timestamp,round_type,grid_size,steps,correct_steps,time_elapsed_ms,time_limit_ms,is_perfect,time_expired,session_id,mean_reaction_time,std_reaction_time,min_reaction_time,max_reaction_time,entropy_reaction_time,mean_inter_click_interval,std_inter_click_interval,entropy_inter_click,mean_click_x_norm,std_click_x_norm,mean_click_y_norm,std_click_y_norm,click_position_entropy,misclick_count,double_click_count,first_click_reaction_time,click_hesitation_count,mouse_move_count,mouse_total_distance,mouse_avg_speed,mouse_max_speed,mouse_direction_changes,mouse_acceleration_changes,mouse_pause_count,mouse_idle_time_ratio,round_in_session,session_avg_time_per_round,consecutive_perfect_rounds,time_pressure_ratio,speed_to_accuracy_ratio,dominant_click_type,device_info_hash,label
1,"1761528610603_z1vynux2r","7c99d514f74e47a77eacd4c47559839b","2025-10-27T01:30:15.295Z","DAILY",4,4,4,4692,25000,1,0,"sess_kbw41p2k_1761528615297",159.000,4.967,155.000,166.000,0.9183,161.000,5.000,1.0000,0.1244,0.0478,0.9334,0.1025,2.0000,0,0,155.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,4692.000,1,0.1877,159.0000,"mouse","4b3a3162c9abb194","human"
1,"1761528615423_deyoujox0","387307857eabf959fce6a366ceea1515","2025-10-27T01:30:19.751Z","DAILY",4,4,4,4328,25000,1,0,"sess_yvozjf6s_1761528619751",151.000,2.449,148.000,154.000,1.5850,151.000,3.000,1.0000,0.1031,0.0376,0.9625,0.0783,2.0000,0,1,151.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,4328.000,1,0.1731,151.0000,"mouse","68fd323343d41f52","human"
1,"1761528630874_417w4k05w","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T01:30:37.593Z","DAILY",4,4,4,6719,25000,1,0,"sess_k94utqy1_1761528637595",955.000,1137.030,148.000,2563.000,0.9183,1358.500,1204.500,1.0000,0.1043,0.0348,1.1013,0.0756,2.0000,0,1,148.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,1,6719.000,1,0.2688,955.0000,"mouse","e6b71e3412bfade7","human"
1,"1761528637233_lf5e4zxn5","489afd08ae060c4d6a553a5b3a4591ce","2025-10-27T01:30:41.859Z","DAILY",4,4,4,4626,25000,1,0,"sess_4pp6npdf_1761528641859",252.667,141.672,150.000,453.000,0.9183,301.500,151.500,1.0000,0.1399,0.0535,1.1887,0.0873,2.0000,0,0,155.000,0,8,306.38,0.8407,2.0263,0,1,0,0.0000,1,4626.000,1,0.1850,252.6667,"mouse","be886ed6cb827169","human"
1,"1761528656410_u51d40xg2","7c99d514f74e47a77eacd4c47559839b","2025-10-27T01:31:00.483Z","INFINITE",3,3,3,4072,20000,1,0,"sess_kbw41p2k_1761528615297",263.000,124.000,139.000,387.000,1.0000,139.000,0.000,0.0000,0.1132,0.0725,0.5775,0.0645,1.5850,0,1,387.000,0,13,261.23,0.4136,3.1364,3,6,3,0.2308,2,4382.000,2,0.2036,263.0000,"mouse","4b3a3162c9abb194","human"
1,"1761528663393_vouofmwy3","7c99d514f74e47a77eacd4c47559839b","2025-10-27T01:31:07.422Z","INFINITE",3,3,3,4029,19800,1,0,"sess_kbw41p2k_1761528615297",170.500,0.500,170.000,171.000,1.0000,170.000,0.000,0.0000,0.0619,0.0000,0.4864,0.0645,1.5850,0,0,171.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,4264.333,3,0.2035,170.5000,"mouse","4b3a3162c9abb194","human"
1,"1761528663737_ye56sdkqq","387307857eabf959fce6a366ceea1515","2025-10-27T01:31:10.350Z","INFINITE",3,3,3,6613,20000,1,0,"sess_yvozjf6s_1761528619751",1409.500,1236.500,173.000,2646.000,1.0000,2646.000,0.000,0.0000,0.0825,0.0334,0.9074,0.0000,0.0000,0,0,173.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,5470.500,2,0.3306,1409.5000,"mouse","68fd323343d41f52","human"
1,"1761528669787_iqou01xzc","7c99d514f74e47a77eacd4c47559839b","2025-10-27T01:31:15.414Z","INFINITE",3,4,4,5627,19600,1,0,"sess_kbw41p2k_1761528615297",368.000,128.781,187.000,476.000,0.9183,331.500,144.500,1.0000,0.1580,0.0638,0.5661,0.1134,1.5000,0,0,441.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,4605.000,4,0.2871,368.0000,"mouse","4b3a3162c9abb194","human"
1,"1761528672089_an3eg2m01","387307857eabf959fce6a366ceea1515","2025-10-27T01:31:15.999Z","INFINITE",3,3,1,3909,19800,0,0,"sess_yvozjf6s_1761528619751",191.000,0.000,191.000,191.000,0.0000,0.000,0.000,0.0000,0.2005,0.0000,0.6556,0.0000,0.0000,1,0,191.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,4950.000,0,0.1974,95.5000,"mouse","68fd323343d41f52","human"
1,"1761528678226_pcqtilwtz","387307857eabf959fce6a366ceea1515","2025-10-27T01:31:21.970Z","INFINITE",3,3,3,3744,19800,1,0,"sess_yvozjf6s_1761528619751",158.500,132.500,26.000,291.000,1.0000,26.000,0.000,0.0000,0.1061,0.0668,0.8654,0.0594,1.5850,0,1,291.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,4648.500,1,0.1891,158.5000,"mouse","68fd323343d41f52","human"
