schema_version,round_id,player_address_hash,timestamp,round_type,grid_size,steps,correct_steps,time_elapsed_ms,time_limit_ms,is_perfect,time_expired,session_id,mean_reaction_time,std_reaction_time,min_reaction_time,max_reaction_time,entropy_reaction_time,mean_inter_click_interval,std_inter_click_interval,entropy_inter_click,mean_click_x_norm,std_click_x_norm,mean_click_y_norm,std_click_y_norm,click_position_entropy,misclick_count,double_click_count,first_click_reaction_time,click_hesitation_count,mouse_move_count,mouse_total_distance,mouse_avg_speed,mouse_max_speed,mouse_direction_changes,mouse_acceleration_changes,mouse_pause_count,mouse_idle_time_ratio,round_in_session,session_avg_time_per_round,consecutive_perfect_rounds,time_pressure_ratio,speed_to_accuracy_ratio,dominant_click_type,device_info_hash,label
1,"1761526614477_i033vubtu","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:56:58.576Z","DAILY",4,4,4,4099,25000,1,0,"sess_j7n44ix2_1761526618579",74.000,4.967,70.000,81.000,0.9183,70.500,0.500,1.0000,0.1696,0.0539,0.3024,0.0500,2.0000,0,3,81.000,0,22,677.57,0.5768,3.5338,8,8,3,0.1364,1,4099.000,1,0.1640,74.0000,"mouse","c321ae390d2b05b0","human"
1,"1761526651956_d6grp441o","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:57:35.610Z","INFINITE",3,3,3,3652,20000,1,0,"sess_j7n44ix2_1761526618579",80.000,1.000,79.000,81.000,1.0000,81.000,0.000,0.0000,0.2111,0.0408,0.5703,0.0726,1.5850,0,2,79.000,0,23,1127.97,0.7702,3.2951,13,11,3,0.1304,2,3875.500,2,0.1826,80.0000,"mouse","c321ae390d2b05b0","human"
1,"1761526656675_lgpi2kyv6","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:57:40.319Z","INFINITE",3,3,3,3644,19800,1,0,"sess_j7n44ix2_1761526618579",78.000,0.000,78.000,78.000,0.0000,78.000,0.000,0.0000,0.2111,0.0408,0.5703,0.0726,1.5850,0,2,78.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,3798.333,3,0.1840,78.0000,"mouse","c321ae390d2b05b0","human"
1,"1761526662029_dswm3269q","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:57:46.669Z","INFINITE",3,4,4,4640,19600,1,0,"sess_j7n44ix2_1761526618579",77.000,0.816,76.000,78.000,1.5850,77.500,0.500,1.0000,0.1750,0.0718,0.5190,0.1089,2.0000,0,3,76.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,4008.750,4,0.2367,77.0000,"mouse","c321ae390d2b05b0","human"
1,"1761526669113_suj4u4cjb","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:57:53.640Z","INFINITE",3,4,4,4527,19400,1,0,"sess_j7n44ix2_1761526618579",78.000,4.967,71.000,82.000,0.9183,76.000,5.000,1.0000,0.0668,0.0000,0.5575,0.1277,0.0000,0,3,82.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,5,4112.400,5,0.2334,78.0000,"mouse","c321ae390d2b05b0","human"
1,"1761526675885_5gg0hys7v","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:58:01.295Z","INFINITE",3,5,5,5410,19200,1,0,"sess_j7n44ix2_1761526618579",79.000,4.848,74.000,87.000,2.0000,80.667,4.497,0.9183,0.1534,0.0775,0.5806,0.1232,1.9219,0,4,74.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,6,4328.667,6,0.2818,79.0000,"mouse","c321ae390d2b05b0","human"
1,"1761526678303_0gly6frgv","6d0b41ddee3f3968e8825b143c825823","2025-10-27T00:58:02.323Z","DAILY",4,4,4,4020,25000,1,0,"sess_xdlfnrr6_1761526682323",75.667,3.091,73.000,80.000,1.5850,77.000,3.000,1.0000,0.1563,0.0651,0.4398,0.0944,2.0000,0,3,73.000,0,29,428.44,0.2717,1.4426,11,19,5,0.1724,1,4020.000,1,0.1608,75.6667,"mouse","4ed9f21f1ae00a50","human"
1,"1761526683896_glgc5mo4b","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:58:09.191Z","INFINITE",4,5,5,5295,19000,1,0,"sess_j7n44ix2_1761526618579",77.500,4.555,72.000,82.000,1.5000,76.000,4.320,1.5850,0.1989,0.0486,0.4612,0.1033,2.3219,0,4,82.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,7,4466.714,7,0.2787,77.5000,"mouse","c321ae390d2b05b0","human"
1,"1761526692900_9r58kguqz","6d0b41ddee3f3968e8825b143c825823","2025-10-27T00:58:16.532Z","INFINITE",3,3,3,3632,20000,1,0,"sess_xdlfnrr6_1761526682323",72.000,1.000,71.000,73.000,1.0000,73.000,0.000,0.0000,0.0589,0.0000,0.4574,0.1028,0.0000,0,2,71.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,3826.000,2,0.1816,72.0000,"mouse","4ed9f21f1ae00a50","human"
1,"1761526691208_v237rt8w8","9e5ac443887a34245aad6d8a2a3477f5","2025-10-27T00:58:17.296Z","INFINITE",4,6,6,6087,18800,1,0,"sess_j7n44ix2_1761526618579",76.000,5.177,68.000,82.000,1.9219,78.000,3.674,1.5000,0.1426,0.0306,0.5190,0.1733,1.9183,0,5,68.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,8,4669.250,8,0.3238,76.0000,"mouse","c321ae390d2b05b0","human"
